,County,2009 Median Price,2010 Median Price,2013 Median Price,2012 Median Price
1700,2541,308100.0,311800.0,340200.0,332000.0
1701,331,238000.0,228000.0,221400.0,210200.0
1702,1056,226900.0,210100.0,210800.0,204000.0
1703,2669,89200.0,93600.0,93600.0,93600.0
1704,931,81000.0,78800.0,82900.0,82000.0
1705,1250,123400.0,117000.0,122400.0,120500.0
1706,779,67700.0,71000.0,62600.0,64100.0
1707,62,284700.0,255100.0,284400.0,244800.0
1708,697,126000.0,130800.0,134900.0,122500.0
1709,117,230200.0,217300.0,279400.0,214000.0
1710,828,109500.0,101300.0,89200.0,89100.0
1711,575,76994.0,76386.0,76732.0,73987.0
1712,140,370200.0,364100.0,352700.0,334300.0
1713,443,84200.0,81000.0,85400.0,82400.0
1714,2392,180100.0,175600.0,188600.0,178700.0
1715,99,385800.0,371300.0,436500.0,367900.0
1716,937,135659.0,131761.0,129820.0,126839.0
1717,1465,82000.0,82600.0,70900.0,72600.0
1718,160,108500.0,105800.0,104600.0,104300.0
1719,2067,90200.0,89200.0,91200.0,90600.0
1720,2085,154300.0,142100.0,157100.0,157100.0
1721,100,166300.0,156700.0,153700.0,151100.0
1722,322,198200.0,189600.0,209100.0,191100.0
1723,310,254800.0,257400.0,284000.0,262300.0
1724,90,147200.0,148400.0,191000.0,149900.0
1725,525,114400.0,109500.0,105900.0,103700.0
1726,1989,149800.0,157400.0,212700.0,188900.0
1727,127,97700.0,94600.0,94000.0,91000.0
1728,1823,84300.0,84000.0,83600.0,83000.0
1729,2662,61100.0,60200.0,63400.0,59500.0
1730,863,145100.0,139900.0,132500.0,131400.0
1731,278,149200.0,142900.0,149400.0,141300.0
